price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
13300000,7420,4,2,3,yes,no,no,no,yes,2,yes,furnished
12250000,8960,4,4,4,yes,no,no,no,yes,3,no,furnished
12250000,9960,3,2,2,yes,no,yes,no,no,2,yes,semi-furnished
12215000,7500,4,2,2,yes,no,yes,no,yes,3,yes,furnished
11410000,7420,4,1,2,yes,yes,yes,no,yes,2,no,furnished
10850000,7500,3,3,1,yes,no,yes,no,yes,2,yes,semi-furnished
10150000,8580,4,3,4,yes,no,no,no,yes,2,yes,furnished
10150000,16200,5,3,2,yes,no,no,no,no,0,no,unfurnished
9870000,8100,4,1,2,yes,yes,yes,no,yes,2,yes,furnished
9800000,5750,3,2,4,yes,yes,no,no,yes,1,yes,furnished
9800000,13200,6,2,2,yes,no,no,no,no,2,yes,furnished
9681000,6000,4,2,1,yes,no,yes,no,no,2,no,furnished
9310000,6550,4,2,2,yes,no,no,no,no,1,yes,semi-furnished
9240000,3500,4,2,2,yes,no,no,no,yes,2,no,furnished
9240000,7800,4,2,2,yes,no,no,no,yes,2,yes,furnished
9100000,7200,4,2,3,yes,yes,no,no,yes,2,yes,furnished
8960000,6000,4,1,2,yes,no,no,no,yes,2,yes,semi-furnished
8890000,9600,4,2,2,yes,yes,yes,no,yes,2,no,furnished
8855000,6600,4,2,2,yes,yes,yes,no,no,1,yes,semi-furnished
8750000,8500,3,2,4,yes,yes,no,no,yes,2,yes,furnished
8680000,7424,4,2,2,yes,no,no,no,yes,2,yes,furnished
8645000,7800,4,2,2,yes,yes,no,no,no,2,yes,semi-furnished
8575000,6600,3,1,2,yes,no,no,no,yes,1,yes,furnished
8505000,6420,4,2,2,yes,no,no,no,yes,2,yes,furnished
8400000,7500,4,2,2,yes,no,no,no,no,2,yes,furnished
8400000,8580,4,3,2,yes,yes,no,no,yes,2,yes,furnished
8400000,6600,4,2,1,yes,no,no,no,yes,1,yes,semi-furnished
8330000,6420,3,2,2,yes,no,no,no,yes,1,no,furnished
8330000,7200,4,2,2,yes,yes,yes,no,yes,2,yes,furnished
8260000,5600,3,2,2,yes,no,no,no,yes,2,yes,semi-furnished
8190000,6480,4,2,2,yes,no,no,no,yes,2,yes,furnished
8120000,5400,4,2,2,yes,no,yes,no,yes,2,no,furnished
8050000,6000,4,2,2,yes,no,no,no,no,1,yes,furnished
7980000,6600,3,2,2,yes,no,no,no,yes,2,no,furnished
7980000,7200,4,2,3,yes,no,no,no,no,2,no,semi-furnished
7910000,5400,3,1,2,yes,no,yes,no,yes,2,yes,furnished
7910000,7500,4,2,2,yes,yes,no,no,yes,2,yes,furnished
7840000,6000,3,2,2,yes,no,no,no,yes,1,no,furnished
7770000,6600,4,2,2,yes,no,no,no,no,2,yes,semi-furnished
7700000,5400,3,2,2,yes,no,no,no,yes,1,no,furnished
7630000,5040,4,2,2,yes,yes,no,no,yes,2,yes,furnished
7560000,4600,4,1,2,yes,no,no,no,yes,2,no,furnished
7490000,6000,3,2,2,yes,no,no,no,no,1,yes,semi-furnished
7420000,5400,3,2,1,yes,no,no,no,yes,2,no,furnished
7350000,5400,3,2,2,yes,no,no,no,yes,1,yes,furnished
7280000,6720,4,2,2,yes,no,no,no,no,2,yes,furnished
7210000,5040,3,2,2,yes,no,yes,no,yes,2,yes,semi-furnished
7140000,4600,4,1,2,yes,no,no,no,no,1,no,furnished
7070000,6000,3,2,2,yes,no,no,no,yes,2,no,semi-furnished
7000000,5400,3,1,2,yes,no,no,no,yes,1,yes,furnished
6930000,4800,3,2,2,yes,no,no,no,no,2,no,furnished
6860000,5200,3,2,2,yes,no,no,no,yes,1,no,semi-furnished
6790000,5040,3,2,1,yes,no,no,no,no,2,yes,furnished
6720000,4800,3,1,2,yes,no,no,no,yes,1,no,unfurnished
6650000,5040,3,2,2,yes,yes,no,no,yes,1,no,semi-furnished
6580000,4600,3,2,2,yes,no,no,no,no,2,no,furnished
6510000,5040,3,1,2,yes,no,no,no,yes,1,yes,furnished
6440000,4800,3,2,1,yes,no,no,no,yes,2,no,semi-furnished
6370000,4320,3,2,2,yes,no,no,no,yes,1,no,furnished
6300000,4800,3,1,1,yes,no,no,no,no,1,no,unfurnished
6230000,4320,3,2,2,yes,no,yes,no,yes,1,no,furnished
6160000,4500,3,2,2,yes,no,no,no,yes,2,no,semi-furnished
6090000,4320,3,1,2,yes,no,no,no,no,1,no,unfurnished
6020000,4200,3,2,2,yes,no,no,no,yes,1,no,furnished
5950000,4320,3,1,1,yes,no,no,no,yes,1,no,semi-furnished
5880000,4100,3,2,2,yes,no,no,no,no,1,no,furnished
5810000,4320,3,2,1,yes,no,no,no,yes,1,no,unfurnished
5740000,4020,3,1,2,yes,no,no,no,yes,1,no,furnished
5670000,3960,3,1,2,yes,no,no,no,no,1,no,semi-furnished
5600000,3850,3,2,2,yes,no,no,no,yes,1,no,furnished
5530000,4020,3,1,1,no,no,no,no,yes,1,no,unfurnished
5460000,3760,3,1,2,yes,no,no,no,no,1,no,furnished
5390000,3850,2,2,2,yes,no,no,no,yes,1,no,semi-furnished
5320000,3640,3,1,2,no,no,no,no,yes,1,no,unfurnished
5250000,3760,3,1,1,yes,no,no,no,no,1,no,furnished
5180000,3640,2,1,2,yes,no,no,no,yes,1,no,semi-furnished
5110000,3500,3,1,1,no,no,no,no,no,0,no,unfurnished
5040000,3640,2,1,2,yes,no,no,no,yes,1,no,furnished
4970000,3500,2,1,1,yes,no,no,no,no,1,no,unfurnished
4900000,3640,2,1,2,no,no,no,no,yes,1,no,semi-furnished
4830000,3360,2,1,2,yes,no,no,no,no,0,no,unfurnished
4760000,3500,2,1,1,no,no,no,no,yes,1,no,furnished
4690000,3360,2,1,2,yes,no,no,no,no,1,no,unfurnished
4620000,3150,2,1,1,no,no,no,no,yes,1,no,semi-furnished
4550000,3360,2,1,1,yes,no,no,no,no,0,no,unfurnished
4480000,3150,2,1,2,no,no,no,no,yes,1,no,furnished
4410000,3080,2,1,1,yes,no,no,no,no,1,no,unfurnished
4340000,3150,2,1,1,no,no,no,no,yes,0,no,semi-furnished
4270000,2940,2,1,1,yes,no,no,no,no,1,no,unfurnished
4200000,3080,2,1,1,no,no,no,no,yes,1,no,furnished
4130000,2940,2,1,1,yes,no,no,no,no,0,no,unfurnished
4060000,2800,2,1,1,no,no,no,no,yes,1,no,semi-furnished
3990000,2800,2,1,1,yes,no,no,no,no,0,no,unfurnished
3920000,2660,1,1,1,no,no,no,no,yes,1,no,furnished
3850000,2800,2,1,1,no,no,no,no,no,0,no,unfurnished
3780000,2450,1,1,1,yes,no,no,no,yes,1,no,semi-furnished
3710000,2660,2,1,1,no,no,no,no,no,0,no,unfurnished
3640000,2450,1,1,1,no,no,no,no,yes,0,no,furnished
3500000,2100,1,1,1,no,no,no,no,no,0,no,unfurnished
